RUN,EXP,TRTNUM,ROTNUM,REPNO,YEAR,DOY,DAS,MCFD,MDEPD,MWAD,MWTD
1,TEST01MZ,1,0,1,2001,113,0,0.00000000,0.00000000,0,0.00000000
1,TEST01MZ,1,0,1,2001,114,1,0.00000000,0.00000000,0,0.00000000
1,TEST01MZ,1,0,1,2001,115,2,0.00000000,0.00000000,0,0.00000000
1,TEST01MZ,1,0,1,2001,116,3,0.00000000,0.00000000,0,0.00000000
1,TEST01MZ,1,0,1,2001,117,4,0.00000000,0.00000000,0,0.00000000
1,TEST01MZ,1,0,1,2001,118,5,0.00000000,0.00000000,0,0.00000000
1,TEST01MZ,1,0,1,2001,119,6,0.00000000,0.00000000,0,0.00000000
1,TEST01MZ,1,0,1,2001,120,7,0.00000000,0.00000000,0,0.00000000
1,TEST01MZ,1,0,1,2001,121,8,0.00000000,0.00000000,0,0.00000000
1,TEST01MZ,1,0,1,2001,122,9,0.00000000,0.00000000,0,0.00000000
1,TEST01MZ,1,0,1,2001,123,10,0.00000000,0.00000000,0,0.00000000
1,TEST01MZ,1,0,1,2001,124,11,0.00000000,0.00000000,0,0.00000000
1,TEST01MZ,1,0,1,2001,125,12,0.00000000,0.00000000,0,0.00000000
1,TEST01MZ,1,0,1,2001,126,13,0.00000000,0.00000000,0,0.00000000
1,TEST01MZ,1,0,1,2001,127,14,0.00000000,0.00000000,0,0.00000000
1,TEST01MZ,1,0,1,2001,128,15,0.00000000,0.00000000,0,0.00000000
1,TEST01MZ,1,0,1,2001,129,16,0.00000000,0.00000000,0,0.00000000
1,TEST01MZ,1,0,1,2001,130,17,0.00000000,0.00000000,0,0.00000000
1,TEST01MZ,1,0,1,2001,131,18,0.00000000,0.00000000,0,0.00000000
1,TEST01MZ,1,0,1,2001,132,19,0.00000000,0.00000000,0,0.00000000
1,TEST01MZ,1,0,1,2001,133,20,0.00000000,0.00000000,0,0.00000000
1,TEST01MZ,1,0,1,2001,134,21,0.00000000,0.00000000,0,0.00000000
1,TEST01MZ,1,0,1,2001,135,22,0.00000000,0.00000000,0,0.00000000
1,TEST01MZ,1,0,1,2001,136,23,0.00000000,0.00000000,0,0.00000000
1,TEST01MZ,1,0,1,2001,137,24,0.00000000,0.00000000,0,0.00000000
1,TEST01MZ,1,0,1,2001,138,25,0.00000000,0.00000000,0,0.00000000
1,TEST01MZ,1,0,1,2001,139,26,0.00000000,0.00000000,0,0.00000000
1,TEST01MZ,1,0,1,2001,140,27,0.00000000,0.00000000,0,0.00000000
1,TEST01MZ,1,0,1,2001,141,28,0.00000000,0.00000000,0,0.00000000
1,TEST01MZ,1,0,1,2001,142,29,0.00000000,0.00000000,0,0.00000000
1,TEST01MZ,1,0,1,2001,143,30,0.00000000,0.00000000,0,0.00000000
1,TEST01MZ,1,0,1,2001,144,31,0.00000000,0.00000000,0,0.00000000
1,TEST01MZ,1,0,1,2001,145,32,0.00000000,0.00000000,0,0.00000000
1,TEST01MZ,1,0,1,2001,146,33,0.00000000,0.00000000,0,0.00000000
1,TEST01MZ,1,0,1,2001,147,34,0.00000000,0.00000000,0,0.00000000
1,TEST01MZ,1,0,1,2001,148,35,0.00000000,0.00000000,0,0.00000000
1,TEST01MZ,1,0,1,2001,149,36,0.00000000,0.00000000,0,0.00000000
1,TEST01MZ,1,0,1,2001,150,37,0.00000000,0.00000000,0,0.00000000
1,TEST01MZ,1,0,1,2001,151,38,0.00000000,0.00000000,0,0.00000000
1,TEST01MZ,1,0,1,2001,152,39,0.00000000,0.00000000,0,0.00000000
1,TEST01MZ,1,0,1,2001,153,40,0.00000000,0.00000000,0,0.00000000
1,TEST01MZ,1,0,1,2001,154,41,0.00000000,0.00000000,0,0.00000000
1,TEST01MZ,1,0,1,2001,155,42,0.00000000,0.00000000,0,0.00000000
1,TEST01MZ,1,0,1,2001,156,43,0.00000000,0.00000000,0,0.00000000
1,TEST01MZ,1,0,1,2001,157,44,0.00000000,0.00000000,0,0.00000000
1,TEST01MZ,1,0,1,2001,158,45,0.00000000,0.00000000,0,0.00000000
1,TEST01MZ,1,0,1,2001,159,46,0.00000000,0.00000000,0,0.00000000
1,TEST01MZ,1,0,1,2001,160,47,0.00000000,0.00000000,0,0.00000000
